timestamp,legacy_localization_score,patch_map_score,x,y,importance,likelihood,clear,dynamic,hour
2020-04-29 23:25:02,180.47518911427431,-1.1961938537167252,-25.90081024169922,9.14280891418457,312.78586870311835,145.80874858433666,1.0,12.731466367841191,23.0
2020-04-29 23:25:03,180.47518911427431,-1.1961938537167252,-25.90081024169922,9.14280891418457,312.78586870311835,145.80874858433666,1.0,12.731466367841191,23.0
2020-04-29 23:25:04,180.4751891142743,-1.1961938537167252,-25.90081024169922,9.14280891418457,312.78586870311835,145.80874858433666,1.0,12.731466367841191,23.0
2020-04-29 23:25:05,180.4751891142743,-1.1961938537167252,-25.90081024169922,9.14280891418457,312.78586870311835,145.80874858433666,1.0,12.731466367841191,23.0
2020-04-29 23:25:06,180.4751891142743,-1.1961938537167252,-25.90081024169922,9.14280891418457,312.78586870311835,145.80874858433666,1.0,12.731466367841191,23.0
2020-04-29 23:25:07,179.39023188174772,-1.1965751991050468,-25.894039916992188,9.144657643636068,309.3562164369524,142.7884102502877,1.0,13.202646425972443,23.0
2020-04-29 23:25:08,210.04074994598145,-1.1969100440094755,-25.874082438151042,9.145389938354493,361.8218073810713,153.37431632051013,1.0,17.467925924497308,23.0
2020-04-29 23:25:09,212.91932990038455,-1.1969966526311389,-25.8792781829834,9.142925262451172,369.0088280237224,150.16184968913154,1.0,20.025825981555904,23.0
2020-04-29 23:25:10,216.75469115893162,-1.1961662911570883,-25.657290267944337,9.279631678263346,374.845417718035,153.7534396442033,1.0,19.51406938150002,23.0
2020-04-29 23:25:11,219.18293266896924,-1.1951257130372939,-25.022893524169923,9.663693682352703,378.9801296214092,156.94106922505384,1.0,18.890683391617838,23.0
2020-04-29 23:25:12,214.21938565365116,-1.19349472950733,-24.1273068745931,10.251951026916505,375.18865479032814,157.65727840735437,1.0,18.016824882986167,23.0
2020-04-29 23:25:13,176.8147527671311,-1.194675589522291,-23.2747620900472,10.866242027282714,303.3386100742584,139.03528444715,1.0,13.468574903876364,23.0
2020-04-29 23:25:14,207.33896897788557,-1.1957835551394136,-22.70615882873535,11.163952700297038,357.63554340187386,159.19506389772246,1.0,14.863071440149017,23.0
2020-04-29 23:25:15,198.0274554372166,-1.1963397874088206,-22.000224812825522,11.1749849319458,340.4541093744123,152.3262582501752,1.0,14.603188847221475,23.0
2020-04-29 23:25:16,193.65232102736087,-1.19331306029303,-20.967970911661784,10.998845672607422,337.8804929279768,158.09371448435735,1.0,12.627494402747251,23.0
2020-04-29 23:25:17,178.6286589898542,-1.1880642980299225,-19.935083134969076,10.760000610351563,307.8575490159811,157.15355859731966,1.0,9.417368876295193,23.0
2020-04-29 23:25:18,185.97018271086057,-1.1870838363401974,-19.1289119720459,10.414779790242513,323.5157593897732,158.7472553391469,1.0,10.73486818970794,23.0
2020-04-29 23:25:19,183.27684297781818,-1.1838361293689335,-18.20055249532064,9.823846181233725,317.2403256733017,157.97376676958058,1.0,10.232022321093389,23.0
2020-04-29 23:25:20,172.20545533445417,-1.1726524650777108,-17.24495112101237,9.250493558247884,299.8937216217963,151.49388330461713,1.0,9.752136639093816,23.0
2020-04-29 23:25:21,184.30705141486308,-1.169665278094346,-16.416520436604817,8.676957257588704,317.9149600675927,159.54343679178052,1.0,9.97315335651457,23.0
2020-04-29 23:25:22,192.63839222340124,-1.167747334137637,-15.621492513020833,8.06913963953654,333.0229253219338,163.4908043693344,1.0,10.759599653542507,23.0
2020-04-29 23:25:23,191.48784307606587,-1.1658178247174447,-14.847945658365886,7.575483798980713,330.5533075503016,154.31758650237194,1.0,12.668909115891967,23.0
2020-04-29 23:25:24,189.25350510442922,-1.1552198636751774,-14.084547233581542,7.119699986775716,330.67061700965013,153.19016478058268,1.0,13.013014431177607,23.0
2020-04-29 23:25:25,169.1591309219489,-1.1518014148627425,-13.436878776550293,6.775890827178955,296.2958580220211,141.31739099926347,1.0,11.787102036972422,23.0
2020-04-29 23:25:26,157.8304818391389,-1.15485786007671,-12.921043650309246,6.574268309275309,271.08868774330574,135.58103646355238,1.0,10.07977241379198,23.0
2020-04-29 23:25:27,150.85158157047752,-1.1522817145372086,-12.51054573059082,6.559772682189942,261.44396609615933,131.07024125931278,1.0,9.996044071678805,23.0
2020-04-29 23:25:28,160.85926500467062,-1.1526641096071653,-12.234769058227538,6.725253868103027,277.06983678639205,136.60534906449033,1.0,10.550142290515355,23.0
2020-04-29 23:25:29,174.61529227535502,-1.1531656852067795,-12.018446985880534,6.9701483408610025,300.7182018495266,144.5601986190846,1.0,11.484636681413026,23.0
2020-04-29 23:25:30,187.46004762158447,-1.1531537063042037,-11.765827814737955,7.3486677805582685,326.1368492689434,150.11966104399954,1.0,13.285878806658783,23.0
2020-04-29 23:25:31,198.9076380702245,-1.1533715721311755,-11.59584903717041,7.6377137184143065,342.2579041536539,147.93704758558627,1.0,16.48827577195496,23.0
2020-04-29 23:25:32,205.3632150778648,-1.153284169263298,-11.567655245463053,7.688661177953084,356.3021346085729,149.26776161229358,1.0,18.187854798691852,23.0
